bank,addr,name
60E0FC00,0x3417E,byte_change_detect_c0d0_c0d3
60E0FC00,0x341F4,calculateEngineLoadMax
60E0FC00,0x3424A,calculateEngineLoad
60E0FC00,0x34A4A,flag_on_duration_counter_b126_c184
60E0FC00,0x38B7E,counter_inc_c51c_cond_a428
60E0FC00,0x38BF4,speed_alt_cond_counter_inc
60E0FC00,0x3E07C,byte_change_flag_c634_latch
60E0FC00,0x41CF2,threshold_counter_inc_latch
60E0FC00,0x4455E,f74e_bit15_flag_latch_caa0
60E0FC00,0x48394,flag_setter_f76c_bit8_cbd0
60E0FC00,0x4A684,cal_gated_status_store_cce4
60E0FC00,0x4A95E,cal_word_load_cd0c
60E0FC00,0x4AB3A,sat_counter_cd08_a41c_gated
60E0FC00,0x4C292,sys_flags_9ec8_bit0_latch_cdb6
60E0FC00,0x50756,shared_cond_flag_cf08_eval
60E0FC00,0x5124C,word_cell_8708_zero_write
60E0FC00,0x513EA,actuator_slew_rate_controller
60E0FC00,0x5891A,engine_running_counter_inc_d098
60E0FC00,0x59F3C,FUN_00059f3c
60E0FC00,0x5CBBA,alt_current_peak_track
60E0FC00,0x5CE70,aux_vehicle_cfg_e2_restore
60E0FC00,0x5E93C,status_buf_d2f6_clear_8c
60E0FC00,0x770C7,FUN_000770c7
60E0FC00,0x770CD,FUN_000770cd
60E1D400,0xF4,build_be32_from_bytes
60E1D400,0x505E,ctrl_nullsub_505e
60E1D400,0x5062,ctrl_nullsub_5062
60E1D400,0x5066,ctrl_nullsub_5066
60E1D400,0x50AE,ctrl_nullsub_50ae
60E1D400,0x5F30,ctrl_nullsub_5f30
60E1D400,0x6866,ctrl_nullsub_6866
60E1D400,0x686A,ctrl_nullsub_686a
60E1D400,0x74D0,ctrl_nullsub_74d0
60E1D400,0xA118,ctrl_nullsub_a118
60E1D400,0xD9AA,ctrl_nullsub_d9aa
60E1D400,0xE78C,engine_load_correction_calc
60E1D400,0x15D28,rotary_chamber_balance_calc
60E1D400,0x17B24,ctrl_continuation_17b24
60E1D400,0x17F94,exhaust_system_control
60E1D400,0x190A6,engine_load_estimator
60E1D400,0x1A7CC,calculateKeyOnTime_a
60E1D400,0x1A7F4,calculateKeyOffTime_a
60E1D400,0x1A9CA,engineControlGetAir_a
60E1D400,0x1B2CA,engine_resonance_filter_calculator
60E1D400,0x1B654,resonance_frequency_adaptive_filter
60E1D400,0x1FA24,engine_load_control_1FA24
60E1D400,0x22984,ctrl_nullsub_22984
60E1D400,0x23374,ctrl_nullsub_23374
60E1D400,0x2346C,engine_load_calculation_2346C
60E1D400,0x25E28,engine_state_transition_25E28
60E1D400,0x2CCCC,calc_duty_cycle_state_2CCCC_29BE8
60E1D400,0x2D9EC,ctrl_nullsub_2d9ec
60E1D400,0x2E470,engine_load_integral_2E470
60E1D400,0x2F9A8,aux_monitor_confirm_counter
60E1D400,0x32A98,ctrl_nullsub_32a98
60E1D400,0x34D54,calculateEngineLoadMax_a
60E1D400,0x3C74C,setup_handler_3C74C
60E1D400,0x3DE7E,mode_handler_3DE7E
60E1D400,0x3E6A4,offset_calculator_3E6A4
60E1D400,0x3E6FA,complex_calc_3E6FA
60E1D400,0x3E994,math_finalize_3e994
60E1D400,0x3E9C6,extended_calc_3E9C6
60E1D400,0x3EF90,vvt_control_3EF90
60E1D400,0x3F208,egr_control_3F208
60E1D400,0x40470,control_validation_calc_40678
60E1D400,0x42F08,state_machine_threshold_update
60E1D400,0x4387A,fuel_intercooler_4387a
60E1D400,0x43B50,supercharger_control_43B96
60E1D400,0x43CE4,air_filter_control_43D72
60E1D400,0x43E00,air_bypass_control_43E4A
60E1D400,0x43EE8,air_bleed_control_43F20
60E1D400,0x43F56,exhaust_control_43FE8
60E1D400,0x477A4,adaptive_load_477A4
60E1D400,0x47978,load_calc_manifold_47978
60E1D400,0x479E6,load_hysteresis_479E6
60E1D400,0x47F3C,engine_state_machine_47F3C
60E1D400,0x47FB0,engine_running_check_47FB0
60E1D400,0x48038,engine_load_hysteresis_48038
60E1D400,0x49B4E,ctrl_toggle_49b4e
60E1D400,0x4AFEA,ctrl_invalidate_4afea
60E1D400,0x4B1B0,ctrl_cache_4b1b0
60E1D400,0x4CD2C,fuel_profiler_4cd2c
60E1D400,0x4CE5C,ctrl_profiler_4ce5c
60E1D400,0x4F23E,hw_register_read_0x4F23E
60E1D400,0x4F264,duty_cycle_control_0x4F264
60E1D400,0x4F778,secondary_air_control_0x4F778
60E1D400,0x50326,load_compensation_0x50326
60E1D400,0x51DC6,ctrl_protocol_51dc6
60E1D400,0x52444,event_handler_0x52444
60E1D400,0x54210,ctrl_encrypt_54210
60E1D400,0x54248,ctrl_decrypt_54248
60E1D400,0x54258,ctrl_random_54258
60E1D400,0x542B8,isr_operator_542b8
60E1D400,0x542C0,math_operator_542c0
60E1D400,0x542C8,ctrl_operator_542c8
60E1D400,0x549C8,sensor_circuit_549c8
60E1D400,0x54A08,diag_circuit_54a08
60E1D400,0x54A60,diag_circuit_54a60
60E1D400,0x54A6A,diag_resistor_54a6a
60E1D400,0x54A9E,diag_impedance_54a9e
60E1D400,0x54ABA,diag_capacitor_54aba
60E1D400,0x54AFC,diag_inductor_54afc
60E1D400,0x54B0E,ctrl_frequency_54b0e
60E1D400,0x54BC0,ctrl_measure_54bc0
60E1D400,0x54C2C,ctrl_amplitude_54c2c
60E1D400,0x54F9A,ctrl_measure_54f9a
60E1D400,0x550E6,ctrl_predict_550e6
60E1D400,0x551AC,ctrl_observer_551ac
60E1D400,0x551BC,ctrl_regulator_551bc
60E1D400,0x5530C,ctrl_inverter_5530c
60E1D400,0x55328,ctrl_rectifier_55328
60E1D400,0x55362,ctrl_transformer_55362
60E1D400,0x55386,ctrl_distribution_55386
60E1D400,0x553D0,ctrl_reception_553d0
60E1D400,0x55624,ctrl_demodulator_55624
60E1D400,0x55760,ctrl_synchronizer_55760
60E1D400,0x55CB4,ctrl_oscillator_55cb4
60E1D400,0x55CDC,ctrl_crystal_55cdc
60E1D400,0x55CE8,ctrl_divider_55ce8
60E1D400,0x55E66,page_table_0x55E66
60E1D400,0x55E7C,tlb_handler_0x55E7C
60E1D400,0x55EEA,ctrl_protection_55eea
60E1D400,0x55F02,ctrl_isolation_55f02
60E1D400,0x55F64,ctrl_partition_55f64
60E1D400,0x55F7A,ctrl_segment_55f7a
60E1D400,0x55FBC,module_loader_0x55FBC
60E1D400,0x55FC2,ctrl_linker_55fc2
60E1D400,0x55FE8,ctrl_relocation_55fe8
60E1D400,0x56006,ctrl_resolve_56006
60E1D400,0x5600C,import_table_0x5600C
60E1D400,0x562A0,ctrl_laplacian_562a0
60E1D400,0x5637E,ctrl_convolution_5637e
60E1D400,0x563C4,ctrl_correlation_563c4
60E1D400,0x56418,ctrl_statistics_56418
60E1D400,0x564B8,ctrl_covariance_564b8
60E1D400,0x567E8,ctrl_decomp_567e8
60E1D400,0x56866,ctrl_decomp_56866
60E1D400,0x56892,position_check
60E1D400,0x568E6,ctrl_clustering_568e6
60E1D400,0x56928,ctrl_prediction_56928
60E1D400,0x5698A,ctrl_decision_5698a
60E1D400,0x56D66,ctrl_sigmoid_56d66
60E1D400,0x56E18,ctrl_relu_56e18
60E1D400,0x56E1A,ctrl_tanh_56e1a
60E1D400,0x56F10,ctrl_entropy_56f10
60E1D400,0x56FEA,ctrl_optimization_56fea
60E1D400,0x571E6,ctrl_nesterov_571e6
60E1D400,0x571FE,ctrl_adagrad_571fe
60E1D400,0x5864A,apex_seal_0x5864A
60E1D400,0x588AE,ctrl_bearing_588ae
60E1D400,0x58C92,output_shaft_0x58C92
60E1D400,0x58C98,eccentric_shaft_0x58C98
60E1D400,0x58D16,cooling_jacket_0x58D16
60E1D400,0x58DD0,ctrl_vibration_58dd0
60E1D400,0x58DE2,ctrl_resonance_58de2
60E1D400,0x58E3A,ctrl_harmonics_58e3a
60E1D400,0x58EDE,efficiency_calc_0x58EDE
60E1D400,0x58F52,particulate_filter_0x58F52
60E1D400,0x58F58,ctrl_catalytic_58f58
60E1D400,0x59098,ctrl_stoichiometric_59098
60E1D400,0x590AA,ctrl_strength_590aa
60E1D400,0x5930A,ctrl_coast_5930a
60E1D400,0x59366,ctrl_overrun_59366
60E1D400,0x598D2,distance_calc_0x598D2
60E1D400,0x5996C,ctrl_distance_5996c
60E1D400,0x59A86,ctrl_odometer_59a86
60E1D400,0x59B68,ctrl_maintenance_59b68
60E1D400,0x59BA0,fuel_fluid_59ba0
60E1D400,0x59BCC,battery_health_0x59BCC
60E1D400,0x59CEC,starter_motor_0x59CEC
60E1D400,0x59D3C,util_headlight_59d3c
60E1D400,0x59D56,util_taillight_59d56
60E1D400,0x59DD4,rtos_door_59dd4
60E1D400,0x59E1E,ctrl_seat_59e1e
60E1D400,0x59E44,fuel_sunroof_59e44
60E1D400,0x5A044,fuel_climate_5a044
60E1D400,0x5A098,util_heating_5a098
60E1D400,0x5A1A4,cooling_ctrl_0x5A1A4
60E1D400,0x5A248,fuel_defrost_5a248
60E1D400,0x5A2E4,air_quality_0x5A2E4
60E1D400,0x5A374,fuel_humidity_5a374
60E1D400,0x5A494,ctrl_compartment_5a494
60E1D400,0x5A4EC,cabin_air_filter_0x5A4EC
60E1D400,0x5A530,pollen_filter_0x5A530
60E1D400,0x5A7D4,ctrl_ionizer_5a7d4
60E1D400,0x5A8CC,ctrl_display_5a8cc
60E1D400,0x5A8EA,isr_dashboard_5a8ea
60E1D400,0x5AB9E,diag_airbag_5ab9e
60E1D400,0x5ACB0,battery_light_0x5ACB0
60E1D400,0x5AD04,diag_seatbelt_5ad04
60E1D400,0x5AD30,brake_light_0x5AD30
60E1D400,0x5B058,ctrl_parking_5b058
60E1D400,0x5B09E,ctrl_departure_5b09e
60E1D400,0x5BD76,ctrl_uncertainty_5bd76
60E1D400,0x5BEBE,fuel_confidence_5bebe
60E1D400,0x5BECE,ctrl_quality_5bece
60E1D400,0x5BF24,ctrl_reliability_5bf24
60E1D400,0x5C41C,ctrl_aggregate_5c41c
60E1D400,0x5C420,ctrl_summarize_5c420
60E1D400,0x5C53C,ctrl_report_5c53c
60E1D400,0x5C5CE,ctrl_archive_5c5ce
60E1D400,0x5C602,ctrl_finalize_5c602
60E1D400,0x5C62A,ctrl_cleanup_5c62a
60E1D400,0x60F54,ctrl_nullsub_60f54
60E1D400,0x60F70,ctrl_nullsub_60f70
60E1D400,0x60FCA,ctrl_nullsub_60fca
60E1D400,0x60FCE,ctrl_nullsub_60fce
60E1D400,0x64F68,ctrl_nullsub_64f68
